Cruise,Lat,Lon,DateTime,Depth,Nitrite,NitrateNitrite,Phosphate,Silicate
AMT18,49.4824,-9.8475,10-Jun-2008 04:59:00,3.3,0.03,0.59,0.46,0.87
AMT18,49.3645,-11.5177,10-Jun-2008 13:11:00,4.5,0.11,1.39,0.44,0.88
AMT18,49.1492,-14.6524,10-Jul-2008 04:29:00,5.6,0.09,1.11,0.44,0.93
AMT18,48.866,-16.1938,10-Jul-2008 12:52:00,3.9,0.09,1.08,0.39,1.15
AMT18,46.5907,-18.6966,10-Aug-2008 04:31:00,4.1,0.02,0.14,0.32,1.11
AMT18,45.6676,-19.5809,10-Aug-2008 12:14:00,4.6,0.02,0.02,0.25,0.95
AMT18,42.673,-22.1949,10-Sep-2008 05:25:00,3.7,0.02,0.02,0.26,1.06
AMT18,38.882,-25.3242,10-Oct-2008 05:22:00,4,0.02,0.02,0.07,0.72
AMT18,36.0117,-27.7373,10-Nov-2008 05:29:00,3.2,0.02,0.02,0.03,0.64
AMT18,35.3137,-28.466,10-Nov-2008 13:43:00,3.7,0.02,0.02,0.03,0.67
AMT18,33.2979,-30.7968,10-Dec-2008 05:27:00,4,0.02,0.02,0.02,0.74
AMT18,32.49,-31.7102,10-Dec-2008 13:45:00,6.8,0.02,0.02,0.02,0.71
AMT18,30.4724,-33.9513,13-Oct-2008 05:24:00,3.5,0.02,0.02,0.02,0.86
AMT18,29.6697,-34.8335,13-Oct-2008 13:36:00,5.3,0.02,0.02,0.02,0.87
AMT18,27.6318,-37.0306,14-Oct-2008 05:09:00,2.9,0.02,0.02,0.02,0.88
AMT18,26.8137,-37.8953,14-Oct-2008 13:36:00,6.1,0.02,0.02,0.02,0.84
AMT18,24.7443,-40.0885,15-Oct-2008 05:25:00,3.5,0.02,0.02,0.02,0.88
AMT18,22.5997,-40.2659,16-Oct-2008 05:25:00,3.8,0.02,0.02,0.02,0.86
AMT18,21.6732,-39.5964,16-Oct-2008 13:39:00,5,0.02,0.02,0.02,0.92
AMT18,19.7224,-38.2301,17-Oct-2008 05:25:00,2.5,0.02,0.02,0.02,0.99
AMT18,18.7886,-37.5779,17-Oct-2008 13:37:00,4.6,0.02,0.02,0.02,0.95
AMT18,16.8105,-36.2068,18-Oct-2008 05:24:00,3.4,0.02,0.02,0.02,0.94
AMT18,14.9192,-34.9221,19-Oct-2008 05:24:00,3.2,0.02,0.02,0.02,1.19
AMT18,14.0932,-34.3602,19-Oct-2008 13:41:00,5.1,0.02,0.02,0.02,1.15
AMT18,10.8916,-32.2064,20-Oct-2008 13:41:00,5.1,0.02,0.02,0.02,1.21
AMT18,8.6438,-30.7085,21-Oct-2008 05:22:00,2.8,0.02,0.02,0.02,3.51
AMT18,7.6627,-30.0594,21-Oct-2008 13:38:00,5.6,0.02,0.02,0.04,2.25
AMT18,5.3398,-28.5213,22-Oct-2008 05:23:00,3.6,0.02,0.02,0.04,3.52
AMT18,5.139,-28.391,22-Oct-2008 13:47:00,4.9,0.02,0.02,0.07,3.25
AMT18,2.791,-26.854,23-Oct-2008 05:20:00,6.2,0.02,0.02,0.09,3.05
AMT18,1.8314,-26.2158,23-Oct-2008 13:39:00,4.2,0.02,0.02,0.06,1.36
AMT18,-0.5837,-24.996,24-Oct-2008 05:22:00,6.3,0.02,0.02,0.08,1.51
AMT18,-1.6265,-24.9955,24-Oct-2008 13:12:00,4.8,0.02,0.02,0.07,1.48
AMT18,-6.0521,-24.978,25-Oct-2008 13:54:00,6.7,0.02,0.02,0.09,1.1
AMT18,-8.8254,-24.9954,26-Oct-2008 05:21:00,3.8,0.02,0.02,0.12,1.26
AMT18,-9.9753,-24.9994,26-Oct-2008 13:35:00,5.8,0.02,0.02,0.06,1.14
AMT18,-12.8396,-24.9983,27-Oct-2008 05:21:00,4.5,0.02,0.02,0.08,1.16
