month_year,Lat,Lon,cv,mean,median,std,value
Apr 2024,-48.199,-52.692,0.10768807,24030.473,23483.236,2587.7952,picoeuk
Apr 2024,-48.115,-52.572,0.11919982,23827.84,23026.264,2840.2742,picoeuk
Apr 2024,-48.014,-52.436,0.14888565,27630.967,28126.67,4113.8545,picoeuk
Apr 2024,-47.933,-52.353,0.16938716,24616.033,23902.686,4169.64,picoeuk
Apr 2024,-47.86,-52.236,0.20898001,24573.219,23296.812,5135.3115,picoeuk
Apr 2024,-47.749,-52.086,0.26999518,22525.814,22641.584,6081.8613,picoeuk
Apr 2024,-47.707,-51.955,0.21800414,24226.61,22155.08,5281.501,picoeuk
Apr 2024,-47.603,-51.814,0.22712907,24452.744,20142.115,5553.929,picoeuk
Apr 2024,-47.565,-51.774,0.24297199,25298.125,27371.586,6146.736,picoeuk
Apr 2024,-47.503,-51.705,0.24297199,25298.125,27371.586,6146.736,picoeuk
Apr 2024,-47.432,-51.599,0.29445282,23492.906,22876.135,6917.5527,picoeuk
Apr 2024,-47.321,-51.435,0.18856362,27053.572,25008.736,5101.3193,picoeuk
Apr 2024,-47.247,-51.324,0.30216077,20193.064,21237.23,6101.552,picoeuk
Apr 2024,-47.156,-51.195,0.47534817,22382.822,20907.664,10639.634,picoeuk
Apr 2024,-47.093,-51.106,0.42480892,22296.201,28721.732,9471.625,picoeuk
Apr 2024,-46.932,-50.87,0.26141462,23844.168,23709.645,6233.2144,picoeuk
Apr 2024,-46.876,-50.799,0.30365396,17035.275,15898.488,5172.8286,picoeuk
Apr 2024,-46.742,-50.664,0.2150027,21574.08,22163.566,4638.4854,picoeuk
Apr 2024,-46.634,-50.555,0.45225123,21074.924,20342.826,9531.16,picoeuk
Apr 2024,-46.516,-50.426,0.34305066,21564.434,22647.094,7397.6934,picoeuk
Apr 2024,-46.394,-50.29,0.2775823,25184.945,23500.727,6990.8945,picoeuk
Apr 2024,-46.302,-50.191,0.21609746,23837.764,24338.242,5151.2803,picoeuk
Apr 2024,-46.199,-50.079,0.40458566,23295.877,23044.252,9425.178,picoeuk
Apr 2024,-46.094,-49.958,0.40399122,20023.166,17549.447,8089.183,picoeuk
Apr 2024,-46.018,-49.872,0.22110115,30018.963,31460.375,6637.227,picoeuk
Apr 2024,-45.931,-49.792,0.18629247,31196.314,30834.635,5811.6387,picoeuk
Apr 2024,-45.833,-49.701,0.27110672,14975.878,13396.542,4060.061,picoeuk
Apr 2024,-45.711,-49.562,0.3621208,18073.568,18240.758,6544.815,picoeuk
Apr 2024,-45.606,-49.443,0.18473756,18735.018,18782.752,3461.0615,picoeuk
Apr 2024,-45.47,-49.118,0.0,14156.561,14156.561,0.0,picoeuk
Apr 2024,-45.456,-48.101,0.28477055,24154.256,23219.742,6878.4204,picoeuk
Apr 2024,-45.345,-48.956,0.14452052,14105.953,14105.953,2038.5996,picoeuk
Apr 2024,-45.297,-48.896,0.0,20653.613,20653.613,0.0,picoeuk
Apr 2024,-45.231,-48.812,0.0,20653.613,20653.613,0.0,picoeuk
Apr 2024,-45.118,-48.662,0.16584028,22095.85,22837.46,3664.382,picoeuk
Apr 2024,-45.024,-48.541,0.2836391,18036.373,19773.076,5115.821,picoeuk
Apr 2024,-44.921,-48.404,0.30381978,16874.984,18000.125,5126.954,picoeuk
Apr 2024,-44.806,-48.263,0.33958602,22555.734,22349.441,7659.6123,picoeuk
Apr 2024,-44.696,-48.116,0.43301627,14745.455,15765.928,6385.022,picoeuk
Apr 2024,-44.593,-47.984,0.3715773,16588.223,16287.234,6163.8066,picoeuk
Apr 2024,-44.489,-47.851,0.47141182,18444.1,14531.492,8694.767,picoeuk
Apr 2024,-44.393,-47.729,0.38826755,18654.385,17049.635,7242.892,picoeuk
Apr 2024,-44.282,-47.589,0.31586725,16991.035,16508.553,5366.9116,picoeuk
Apr 2024,-44.175,-47.447,0.37429106,15237.828,14338.25,5703.383,picoeuk
Apr 2024,-44.079,-47.328,0.5057742,22826.412,20424.582,11545.01,picoeuk
Apr 2024,-43.966,-47.181,0.51322114,22411.355,15434.418,11501.981,picoeuk
Apr 2024,-43.853,-47.035,0.49813792,23169.488,21812.12,11541.601,picoeuk
Apr 2024,-43.791,-46.955,0.50964546,19912.707,17035.332,10148.421,picoeuk
Apr 2024,-43.699,-46.839,0.356986,15288.264,12726.824,5457.696,picoeuk
Apr 2024,-43.596,-46.713,0.30716464,16043.701,17309.264,4928.0576,picoeuk
Apr 2024,-43.464,-46.551,0.4190042,16281.348,14449.002,6821.953,picoeuk
