month_year,Lat,Lon,cv,mean,median,std,value
Apr 2024,-48.199,-52.692,0.9746103,127218.17,97156.47,123988.14,prococcus
Apr 2024,-48.115,-52.572,0.73456854,160377.11,184264.92,117807.98,prococcus
Apr 2024,-48.014,-52.436,0.47321892,228611.69,288929.2,108183.375,prococcus
Apr 2024,-47.933,-52.353,0.40899292,236001.34,214735.77,96522.875,prococcus
Apr 2024,-47.86,-52.236,0.42864802,253523.5,278832.8,108672.34,prococcus
Apr 2024,-47.749,-52.086,0.31863835,277514.12,285017.44,88426.64,prococcus
Apr 2024,-47.707,-51.955,0.24894811,278488.47,312670.66,69329.18,prococcus
Apr 2024,-47.603,-51.814,0.27708554,251636.05,263262.2,69724.71,prococcus
Apr 2024,-47.565,-51.774,0.37569755,251710.25,256820.5,94566.92,prococcus
Apr 2024,-47.503,-51.705,0.37569755,251710.25,256820.5,94566.92,prococcus
Apr 2024,-47.432,-51.599,0.71387124,183207.75,155666.56,130786.74,prococcus
Apr 2024,-47.321,-51.435,0.8472653,171649.38,157303.81,145432.56,prococcus
Apr 2024,-47.247,-51.324,0.61587113,258097.75,244498.34,158954.95,prococcus
Apr 2024,-47.156,-51.195,0.81340444,205035.38,126903.336,166776.69,prococcus
Apr 2024,-47.093,-51.106,1.1146204,50775.418,22581.994,56595.316,prococcus
Apr 2024,-46.932,-50.87,0.84137416,224602.08,233366.88,188974.39,prococcus
Apr 2024,-46.876,-50.799,0.6137999,254194.3,295523.53,156024.44,prococcus
Apr 2024,-46.742,-50.664,0.8364319,205362.38,158112.75,171771.64,prococcus
Apr 2024,-46.634,-50.555,0.94228595,132923.61,93087.1,125252.05,prococcus
Apr 2024,-46.516,-50.426,0.90841,129150.27,73617.836,117321.4,prococcus
Apr 2024,-46.394,-50.29,1.0420432,172367.16,101280.87,179614.03,prococcus
Apr 2024,-46.302,-50.191,1.0785382,162155.12,86605.67,174890.5,prococcus
Apr 2024,-46.199,-50.079,1.200032,135843.23,64956.59,163016.23,prococcus
Apr 2024,-46.094,-49.958,1.0416408,111450.36,48939.395,116091.24,prococcus
Apr 2024,-46.018,-49.872,1.140326,160951.03,31187.951,183536.64,prococcus
Apr 2024,-45.931,-49.792,1.3118728,114829.53,43220.38,150641.75,prococcus
Apr 2024,-45.833,-49.701,0.41952342,58935.547,68934.62,24724.842,prococcus
Apr 2024,-45.711,-49.562,0.60828847,99763.18,74025.09,60684.793,prococcus
Apr 2024,-45.606,-49.443,0.45229632,150451.27,129574.41,68048.555,prococcus
Apr 2024,-45.47,-49.118,0.0,112086.84,112086.84,0.0,prococcus
Apr 2024,-45.456,-48.101,0.7722777,172135.7,147564.03,132936.56,prococcus
Apr 2024,-45.345,-48.956,0.5327907,128714.25,128714.25,68577.76,prococcus
Apr 2024,-45.297,-48.896,0.0,125152.51,125152.51,0.0,prococcus
Apr 2024,-45.231,-48.812,0.0,125152.51,125152.51,0.0,prococcus
Apr 2024,-45.118,-48.662,0.5790471,222829.47,192279.72,129028.75,prococcus
Apr 2024,-45.024,-48.541,0.3727508,140009.39,135809.89,52188.61,prococcus
Apr 2024,-44.921,-48.404,0.7335313,219279.58,117230.09,160848.44,prococcus
Apr 2024,-44.806,-48.263,0.60915655,230024.03,284625.56,140120.64,prococcus
Apr 2024,-44.696,-48.116,0.14046395,343016.44,356436.6,48181.445,prococcus
Apr 2024,-44.593,-47.984,0.17927769,355838.47,358640.38,63793.9,prococcus
Apr 2024,-44.489,-47.851,0.60385764,244254.0,317354.38,147494.64,prococcus
Apr 2024,-44.393,-47.729,0.53610426,271871.4,321767.0,145751.42,prococcus
Apr 2024,-44.282,-47.589,0.21197364,343010.66,335951.28,72709.22,prococcus
Apr 2024,-44.175,-47.447,0.1915178,323627.88,324554.44,61980.5,prococcus
Apr 2024,-44.079,-47.328,0.4399509,240846.83,264372.84,105960.78,prococcus
Apr 2024,-43.966,-47.181,0.70501065,172473.55,98875.88,121595.69,prococcus
Apr 2024,-43.853,-47.035,0.6383153,197948.2,150839.05,126353.37,prococcus
Apr 2024,-43.791,-46.955,0.4936431,189093.42,186573.89,93344.664,prococcus
Apr 2024,-43.699,-46.839,0.19371095,277345.72,270297.28,53724.902,prococcus
Apr 2024,-43.596,-46.713,0.7890775,215840.42,284858.2,170314.83,prococcus
Apr 2024,-43.464,-46.551,0.5406497,225711.6,221495.92,122030.91,prococcus
Apr 2024,-43.358,-46.418,0.592219,220132.11,312108.94,130366.42,prococcus
Apr 2024,-43.268,-46.305,0.9061541,148313.23,154142.39,134394.64,prococcus
Apr 2024,-43.135,-46.136,0.83536863,166944.08,196208.52,139459.84,prococcus
Apr 2024,-43.019,-46.006,1.0590192,83724.89,61757.156,88666.266,prococcus
Apr 2024,-43.005,-45.982,0.6483943,123626.82,101156.09,80158.92,prococcus
Apr 2024,-42.974,-45.939,1.0014759,115771.01,115055.914,115941.875,prococcus
Apr 2024,-42.871,-45.805,0.8305613,127788.66,161256.36,106136.31,prococcus
Apr 2024,-42.754,-45.662,1.2716229,105037.96,46407.54,133568.67,prococcus
Apr 2024,-42.636,-45.519,1.131066,108664.625,42113.883,122906.86,prococcus
Apr 2024,-42.526,-45.377,0.7361662,59269.848,56109.83,43632.457,prococcus
Apr 2024,-42.418,-45.243,0.6630645,110011.37,98872.24,72944.63,prococcus
Apr 2024,-42.306,-45.104,0.6293727,129147.61,144267.53,81281.984,prococcus
Apr 2024,-42.184,-44.953,0.7168566,149518.97,148471.19,107183.66,prococcus
Apr 2024,-42.068,-44.832,0.76396084,117196.16,130317.375,89533.27,prococcus
Apr 2024,-41.993,-44.75,0.99088883,135446.6,136226.03,134212.52,prococcus
Apr 2024,-41.843,-44.573,0.98396033,110156.484,47056.62,108389.61,prococcus
Apr 2024,-41.719,-44.426,0.9598444,64138.43,52210.418,61562.914,prococcus
Apr 2024,-41.599,-44.282,0.93529344,89181.77,69893.41,83411.125,prococcus
Apr 2024,-41.481,-44.145,1.0052639,133971.36,100336.34,134676.58,prococcus
Apr 2024,-41.371,-44.014,0.72431463,200490.05,204714.8,145217.88,prococcus
Apr 2024,-41.37,-44.013,0.72431463,200490.05,204714.8,145217.88,prococcus
Apr 2024,-41.289,-43.927,0.62294143,172333.7,162698.64,107353.805,prococcus
Apr 2024,-41.146,-43.77,0.42654347,165231.05,193026.25,70478.23,prococcus
Apr 2024,-41.02,-43.632,0.48522997,160433.52,164349.38,77847.15,prococcus
Apr 2024,-40.916,-43.52,0.2746588,173330.47,172074.1,47606.74,prococcus
Apr 2024,-40.796,-43.389,0.52287626,195215.45,189827.08,102073.52,prococcus
Apr 2024,-40.65,-43.23,0.5334888,195373.16,220048.55,104229.39,prococcus
Apr 2024,-40.565,-43.133,0.43646955,179957.03,197904.86,78545.766,prococcus
Apr 2024,-40.52,-43.082,0.61465746,198078.88,210067.56,121750.664,prococcus
Apr 2024,-40.492,-42.079,0.5918725,141990.33,145208.17,84040.17,prococcus
Apr 2024,-40.373,-42.903,0.4724596,204692.47,232034.34,96708.92,prococcus
Apr 2024,-40.269,-42.775,0.27118662,244000.2,253799.05,66169.59,prococcus
Apr 2024,-40.158,-42.636,0.28944117,219660.78,232125.8,63578.875,prococcus
Apr 2024,-40.06,-42.51,0.4056743,192504.47,152294.0,78094.12,prococcus
Apr 2024,-39.957,-42.398,0.32935676,236208.25,237625.78,77796.78,prococcus
Apr 2024,-39.855,-42.273,0.34380814,239364.66,249223.0,82295.516,prococcus
Apr 2024,-39.759,-42.158,0.20269242,217560.55,227713.69,44097.875,prococcus
Apr 2024,-39.664,-42.041,0.19785346,225889.83,222383.38,44693.086,prococcus
Apr 2024,-39.57,-41.923,0.22707158,270387.2,296090.47,61397.246,prococcus
Apr 2024,-39.538,-41.068,0.23184124,241606.92,258859.94,56014.45,prococcus
Apr 2024,-39.472,-41.803,0.3320776,329285.28,395291.75,109348.266,prococcus
Apr 2024,-39.389,-41.703,0.2486516,278617.06,277834.4,69278.58,prococcus
Apr 2024,-39.278,-41.566,0.23685814,279150.4,293139.94,66119.05,prococcus
Apr 2024,-39.21,-41.475,0.17750266,283099.2,310578.6,50250.86,prococcus
Apr 2024,-39.209,-41.475,0.17750266,283099.2,310578.6,50250.86,prococcus
Apr 2024,-39.167,-41.396,0.18506256,281168.84,268267.2,52033.824,prococcus
Apr 2024,-39.106,-41.282,0.22409014,273283.56,286835.6,61240.152,prococcus
Apr 2024,-39.028,-41.163,0.2257797,257932.17,264671.97,58235.848,prococcus
Apr 2024,-38.839,-40.942,0.0,231193.52,231193.52,0.0,prococcus
Apr 2024,-38.723,-40.81,0.09273989,282560.56,291375.5,26204.635,prococcus
Apr 2024,-38.609,-40.687,0.12035777,273631.8,275195.3,32933.715,prococcus
Apr 2024,-38.584,-40.654,0.10290594,293776.3,301118.94,30231.326,prococcus
Apr 2024,-38.57,-40.629,0.10290594,293776.3,301118.94,30231.326,prococcus
Apr 2024,-38.467,-40.508,0.0523903,303609.6,294740.44,15906.197,prococcus
Apr 2024,-38.349,-40.373,0.13738364,288293.97,305942.16,39606.875,prococcus
Apr 2024,-38.252,-40.258,0.1643681,302685.1,310614.66,49751.77,prococcus
Apr 2024,-38.132,-40.119,0.14208068,295444.06,297815.78,41976.895,prococcus
Apr 2024,-38.012,-39.98,0.11828461,301068.1,306465.7,35611.723,prococcus
Apr 2024,-37.9,-39.85,0.14622042,281539.78,285831.8,41166.863,prococcus
Apr 2024,-37.782,-39.717,0.1983062,267683.78,257649.45,53083.355,prococcus
Apr 2024,-37.681,-39.598,0.17387424,294224.94,255208.52,51158.137,prococcus
Apr 2024,-37.55,-39.448,0.049922038,244719.56,248674.4,12216.899,prococcus
Apr 2024,-37.41,-39.287,0.19340687,258787.16,228480.39,50051.21,prococcus
Apr 2024,-37.326,-39.188,0.2034902,259410.31,243323.61,52787.457,prococcus
Apr 2024,-37.188,-39.036,0.1499604,239910.47,229770.53,35977.07,prococcus
Apr 2024,-37.083,-38.905,0.124782674,272414.1,269718.22,33992.56,prococcus
Apr 2024,-37.012,-38.835,0.10689685,260806.33,263371.78,27879.375,prococcus
Apr 2024,-36.927,-38.728,0.14206834,268623.56,266867.3,38162.902,prococcus
Apr 2024,-36.688,-38.461,0.222579,230862.8,243958.45,51385.21,prococcus
Apr 2024,-36.564,-38.32,0.11812882,244907.25,253850.28,28930.605,prococcus
Apr 2024,-36.449,-38.184,0.23808807,236367.19,237769.67,56276.207,prococcus
Apr 2024,-36.334,-38.059,0.18946502,245641.92,241598.84,46540.55,prococcus
Apr 2024,-36.202,-37.907,0.1765143,226786.03,228074.0,40030.977,prococcus
Apr 2024,-36.167,-37.866,0.17630307,227218.8,230103.1,40059.37,prococcus
Apr 2024,-36.144,-37.843,0.17630307,227218.8,230103.1,40059.37,prococcus
Apr 2024,-36.018,-37.7,0.25189406,235337.31,217777.8,59280.07,prococcus
Apr 2024,-35.88,-37.54,0.168492,244101.25,242077.73,41129.11,prococcus
Apr 2024,-35.759,-37.402,0.123707555,231214.53,225997.23,28602.984,prococcus
Apr 2024,-35.638,-37.265,0.27804723,202222.38,218291.64,56227.37,prococcus
Apr 2024,-35.52,-37.142,0.11242455,223051.47,226710.31,25076.46,prococcus
Apr 2024,-35.404,-37.009,0.093824595,230316.64,233917.8,21609.365,prococcus
Apr 2024,-35.3,-36.893,0.1170166,235148.7,226205.39,27516.3,prococcus
Apr 2024,-35.176,-36.755,0.07030386,235123.0,229916.38,16530.055,prococcus
Apr 2024,-34.918,-36.467,0.07028808,254800.16,264765.8,17909.412,prococcus
Apr 2024,-34.829,-36.369,0.55459476,174122.98,206527.56,96567.695,prococcus
Apr 2024,-34.705,-36.225,0.07267756,254784.08,253372.25,18517.086,prococcus
Apr 2024,-34.585,-36.092,0.14076191,258398.12,255430.6,36372.613,prococcus
Apr 2024,-34.581,-36.091,0.14076191,258398.12,255430.6,36372.613,prococcus
Apr 2024,-34.497,-36.003,0.10207552,266827.6,257725.55,27236.564,prococcus
Apr 2024,-34.268,-35.748,0.06778138,270152.5,259933.52,18311.31,prococcus
Apr 2024,-34.17,-35.639,0.07199098,269674.16,270068.75,19414.107,prococcus
Apr 2024,-34.063,-35.522,0.074400984,263708.72,266753.7,19620.188,prococcus
Apr 2024,-34.06,-36.627,0.044474766,242634.94,240552.36,10791.132,prococcus
Apr 2024,-33.956,-35.404,0.015425389,268674.34,268674.34,4144.4062,prococcus
Apr 2024,-33.851,-35.287,0.07030261,279080.8,288712.0,19620.11,prococcus
Apr 2024,-33.829,-35.266,0.07030261,279080.8,288712.0,19620.11,prococcus
Apr 2024,-33.808,-35.239,0.07030261,279080.8,288712.0,19620.11,prococcus
Apr 2024,-33.689,-35.109,0.05273281,318609.75,318609.75,16801.188,prococcus
Apr 2024,-33.603,-35.009,0.03535299,353304.62,353304.62,12490.375,prococcus
Apr 2024,-33.496,-34.89,0.13659538,306318.84,303750.3,41841.74,prococcus
Apr 2024,-33.379,-34.769,0.06981489,281818.56,294641.12,19675.133,prococcus
Apr 2024,-33.263,-34.646,0.13925928,306847.44,308020.62,42731.35,prococcus
Apr 2024,-33.156,-34.526,0.037002586,275628.1,274171.6,10198.952,prococcus
Apr 2024,-33.05,-34.413,0.073354185,275201.25,275201.25,20187.164,prococcus
Apr 2024,-32.85,-34.193,0.107234575,240014.0,243178.9,25737.799,prococcus
Apr 2024,-32.814,-34.156,0.107234575,240014.0,243178.9,25737.799,prococcus
Apr 2024,-32.67,-34.001,0.1012236,202541.52,202222.97,20501.982,prococcus
Apr 2024,-32.556,-33.876,0.13292995,217785.44,209389.61,28950.209,prococcus
Apr 2024,-32.45,-33.757,0.1250435,205715.72,205875.5,25723.412,prococcus
Apr 2024,-32.375,-33.675,0.044773523,202752.23,202871.8,9077.932,prococcus
Apr 2024,-32.373,-33.674,0.044773523,202752.23,202871.8,9077.932,prococcus
Apr 2024,-32.278,-33.576,0.27795076,183270.86,195358.62,50940.273,prococcus
Apr 2024,-32.038,-33.318,0.25378844,224899.81,218227.89,57076.973,prococcus
Apr 2024,-31.922,-33.187,0.13384548,224270.94,212464.84,30017.65,prococcus
Apr 2024,-31.808,-33.072,0.058339797,220180.64,217460.5,12845.294,prococcus
Apr 2024,-31.699,-32.975,0.12330654,252823.89,259726.3,31174.84,prococcus
Apr 2024,-31.614,-32.888,0.09535021,257814.25,264362.03,24582.645,prococcus
Apr 2024,-31.608,-32.892,0.09535021,257814.25,264362.03,24582.645,prococcus
Apr 2024,-31.598,-32.847,0.21272841,301536.8,291294.75,64145.445,prococcus
Apr 2024,-31.513,-32.754,0.13669056,241275.7,241275.7,32980.11,prococcus
Apr 2024,-31.404,-32.639,0.07765554,278181.06,282898.62,21602.3,prococcus
Apr 2024,-31.305,-32.541,0.1808986,231900.23,233761.8,41950.43,prococcus
Apr 2024,-31.191,-32.415,0.09584309,258194.6,272941.28,24746.168,prococcus
Apr 2024,-31.109,-32.327,0.11940937,241127.11,238626.66,28792.836,prococcus
Apr 2024,-30.977,-32.187,0.07009623,228145.78,226066.66,15992.159,prococcus
Apr 2024,-30.889,-32.086,0.12308061,266203.0,267103.4,32764.428,prococcus
Apr 2024,-30.755,-31.945,0.11865041,229344.95,233608.1,27211.871,prococcus
Apr 2024,-30.628,-31.81,0.10959539,238705.17,244641.89,26160.986,prococcus
Apr 2024,-30.485,-31.66,0.11443978,239223.83,228855.69,27376.723,prococcus
Apr 2024,-30.388,-31.554,0.17108315,244410.53,245601.78,41814.523,prococcus
Apr 2024,-30.263,-31.415,0.15567821,234859.08,239579.48,36562.44,prococcus
Apr 2024,-30.121,-31.272,0.11754956,224564.42,217807.16,26397.45,prococcus
Apr 2024,-30.006,-31.15,0.113625206,203037.03,204926.06,23070.125,prococcus
Apr 2024,-29.916,-31.047,0.050790466,222833.25,224060.55,11317.805,prococcus
Apr 2024,-29.672,-30.781,0.16117546,216508.53,202121.47,34895.863,prococcus
Apr 2024,-29.568,-30.681,0.016429774,189843.98,189843.98,3119.0938,prococcus
Apr 2024,-29.426,-30.544,0.21481231,192589.22,194572.0,41370.535,prococcus
Apr 2024,-29.305,-30.418,0.18689735,205820.3,202599.1,38467.27,prococcus
Apr 2024,-29.195,-30.302,0.12045745,199293.83,214878.55,24006.426,prococcus
