month_year,Lat,Lon,cv,mean,median,std,value
Apr 2024,-48.199,-52.692,1.1060982,13720.771,3810.4546,15176.5205,syncoccus
Apr 2024,-48.115,-52.572,0.9922349,17747.85,8049.004,17610.035,syncoccus
Apr 2024,-48.014,-52.436,0.6066552,19082.281,20507.268,11576.364,syncoccus
Apr 2024,-47.933,-52.353,0.8566761,20733.059,10292.468,17761.516,syncoccus
Apr 2024,-47.86,-52.236,1.0548879,33892.73,25642.94,35753.03,syncoccus
Apr 2024,-47.749,-52.086,0.6892589,34466.91,29580.4,23756.623,syncoccus
Apr 2024,-47.707,-51.955,0.44068635,29446.512,29645.66,12976.676,syncoccus
Apr 2024,-47.603,-51.814,0.5824605,27756.188,36230.727,16166.883,syncoccus
Apr 2024,-47.565,-51.774,0.5964211,30666.03,35541.215,18289.867,syncoccus
Apr 2024,-47.503,-51.705,0.5964211,30666.03,35541.215,18289.867,syncoccus
Apr 2024,-47.432,-51.599,0.9650909,21230.729,8050.0234,20489.582,syncoccus
Apr 2024,-47.321,-51.435,1.0271798,21275.838,6050.9614,21854.111,syncoccus
Apr 2024,-47.247,-51.324,0.9991543,44089.625,24740.18,44052.34,syncoccus
Apr 2024,-47.156,-51.195,1.1174449,97561.19,23030.371,109019.25,syncoccus
Apr 2024,-47.093,-51.106,1.1423898,9954.057,3992.5706,11371.412,syncoccus
Apr 2024,-46.932,-50.87,0.84768116,56072.39,54889.76,47531.508,syncoccus
Apr 2024,-46.876,-50.799,0.9025067,135571.58,110890.516,122354.26,syncoccus
Apr 2024,-46.742,-50.664,1.1346978,44305.688,21609.533,50273.566,syncoccus
Apr 2024,-46.634,-50.555,2.138055,34360.156,5559.948,73463.91,syncoccus
Apr 2024,-46.516,-50.426,1.6412292,19037.67,2394.6104,31245.18,syncoccus
Apr 2024,-46.394,-50.29,1.5442376,40578.836,5241.8887,62663.363,syncoccus
Apr 2024,-46.302,-50.191,1.407227,34487.95,4244.7554,48532.375,syncoccus
Apr 2024,-46.199,-50.079,1.6021616,17982.752,5864.62,28811.275,syncoccus
Apr 2024,-46.094,-49.958,1.3234866,12702.607,5073.1543,16811.73,syncoccus
Apr 2024,-46.018,-49.872,1.7640706,63707.8,4150.0317,112385.06,syncoccus
Apr 2024,-45.931,-49.792,1.3606819,19757.932,6478.0127,26884.26,syncoccus
Apr 2024,-45.833,-49.701,0.08835806,3818.5828,3640.4114,337.40256,syncoccus
Apr 2024,-45.711,-49.562,1.4255038,33281.17,8464.636,47442.438,syncoccus
Apr 2024,-45.606,-49.443,1.3177464,61825.01,6871.1426,81469.69,syncoccus
Apr 2024,-45.47,-49.118,0.0,3013.0886,3013.0886,0.0,syncoccus
Apr 2024,-45.456,-48.101,1.7317319,51716.66,13641.113,89559.39,syncoccus
Apr 2024,-45.345,-48.956,0.13071106,5945.369,5945.369,777.1255,syncoccus
Apr 2024,-45.297,-48.896,0.0,5129.055,5129.055,0.0,syncoccus
Apr 2024,-45.231,-48.812,0.0,5129.055,5129.055,0.0,syncoccus
Apr 2024,-45.118,-48.662,1.4690528,50950.453,9218.1045,74848.91,syncoccus
Apr 2024,-45.024,-48.541,0.51300406,9520.691,10361.655,4884.1533,syncoccus
Apr 2024,-44.921,-48.404,1.4160155,67032.37,9071.744,94918.875,syncoccus
Apr 2024,-44.806,-48.263,1.1733837,44577.63,14996.177,52306.664,syncoccus
Apr 2024,-44.696,-48.116,0.95967096,56100.605,40734.805,53838.12,syncoccus
Apr 2024,-44.593,-47.984,0.7255718,87696.445,75326.08,63630.07,syncoccus
Apr 2024,-44.489,-47.851,1.0665678,66424.85,42550.73,70846.61,syncoccus
Apr 2024,-44.393,-47.729,1.0577687,48027.25,22306.402,50801.723,syncoccus
Apr 2024,-44.282,-47.589,0.75312024,85782.734,95514.79,64604.715,syncoccus
Apr 2024,-44.175,-47.447,0.62156624,79278.21,69332.6,49276.66,syncoccus
Apr 2024,-44.079,-47.328,1.0280765,51358.477,36988.133,52800.44,syncoccus
Apr 2024,-43.966,-47.181,1.1841965,40939.38,9317.093,48480.27,syncoccus
Apr 2024,-43.853,-47.035,1.2865863,49454.348,12488.274,63627.285,syncoccus
Apr 2024,-43.791,-46.955,0.66126883,31283.879,21284.877,20687.055,syncoccus
Apr 2024,-43.699,-46.839,0.55320525,51286.652,47642.902,28372.045,syncoccus
Apr 2024,-43.596,-46.713,1.3242537,59276.46,30078.31,78497.07,syncoccus
Apr 2024,-43.464,-46.551,0.83486253,69097.86,53215.258,57687.215,syncoccus
Apr 2024,-43.358,-46.418,0.88188237,65390.277,39206.973,57666.53,syncoccus
Apr 2024,-43.268,-46.305,1.1834582,34661.113,16970.684,41019.98,syncoccus
Apr 2024,-43.135,-46.136,1.0186787,34820.7,23199.363,35471.105,syncoccus
Apr 2024,-43.019,-46.006,1.1539979,11077.754,6591.759,12783.705,syncoccus
Apr 2024,-43.005,-45.982,1.2960817,16683.738,5085.4634,21623.486,syncoccus
Apr 2024,-42.974,-45.939,1.0171056,13646.26,10088.304,13879.687,syncoccus
Apr 2024,-42.871,-45.805,0.9025469,14864.582,11266.426,13415.982,syncoccus
Apr 2024,-42.754,-45.662,2.5178797,36178.41,2445.765,91092.88,syncoccus
Apr 2024,-42.636,-45.519,2.1429188,15055.126,1824.069,32261.912,syncoccus
Apr 2024,-42.526,-45.377,1.0510229,2366.9014,1573.3053,2487.6675,syncoccus
