Cruise,Date,Lat,Lon,POC,Total chl-a (mg m^-3),Prochlorococcus cell counts,Synechococcus cell counts,Picoeukaryote cell counts,Phytoplankton carbon from FCM (mg m^-3)
AMT18,20081006,49.3718,-11.3907,71.86,0.21,68721,22368,8575,22.7828766978124
AMT18,20081007,49.1492,-14.6525,63.25833333,0.258,40927,12883,5818,18.8906014636926
AMT18,20081007,48.8687,-16.1947,86.73333333,0.358,27367,8935,8619,36.6997801218912
AMT18,20081009,42.6729,-22.195,28.83333333,0.064,109229,828,1316,10.8012242651453
AMT18,20081010,38.9821,-25.3243,44.85416667,0.059,146433,7685,881,10.6512472734921
AMT18,20081011,36.0115,-27.7373,40.20416667,0.045,115640,1276,679,7.21967379254994
AMT18,20081011,35.3137,-28.4663,40.79583333,0.025,110941,1270,525,7.10526702193635
AMT18,20081012,33.2978,-30.7968,45.9625,0.275,94751,1667,547,6.25528941728502
AMT18,20081012,32.49,-31.71,30.925,0.037,65267,1375,593,4.66514322366535
AMT18,20081013,30.4723,-33.9512,41.67083333,0.032,70222,2008,588,5.21324661006556
AMT18,20081013,29.6697,-34.8333,52.7125,0.219,53273,1598,683,4.34783193499969
AMT18,20081014,27.6316,-37.0305,38.28333333,0.044,83535,877,665,5.54287417083009
AMT18,20081015,24.7443,-40.0884,60.66666667,0.051,88834,1285,689,6.00600193508123
AMT18,20081016,22.5998,-40.2658,56.15,0.043,91555,958,914,7.1835315942666
AMT18,20081016,21.6733,-39.5963,49.17916667,0.049,83806,1208,859,7.0930562454466
AMT18,20081017,19.7224,-38.2301,45.92916667,0.058,172999,3057,822,9.91928776183301
AMT18,20081017,18.7886,-37.5778,37.95,0.056,125171,1861,635,7.08052622539031
AMT18,20081018,16.8105,-36.2067,57.99166667,0.079,226389,4418,1050,11.962948477495
AMT18,20081019,14.9192,-34.922,61.6375,0.128,219207,5962,1037,12.0028222648772
AMT18,20081019,14.0933,-34.3601,60.60833333,0.122,145830,4728,687,8.64850456466549
AMT18,20081021,8.6438,-30.7084,73.60416667,0.086,220506,21572,1227,15.7859846250414
