Cruise,Depth,Lat,Lon,DateTime,allo,alphabetacar,butfuco,chl_c1c2,chl_c3,diadino,diato,dv_chl_a,fuco,hexfuco,lut,neo,perid,pras,tot_chl_a,tot_chl_b,tot_chl_c,viola,zea
AMT18,4.5,49.3645,-11.5177,2008-10-06T13:11,0.001,0.018,0.049,0.039,0.042,0.028,0.001,0.1,0.039,0.13,0.001,0,0.012,0,0.21,0.126,0.081,0.006,0.062
AMT18,5.5,49.1492,-14.6524,2008-10-07T04:29,0.009,0.012,0.059,0.045,0.05,0.024,0.001,0.077,0.028,0.162,0.001,0,0.002,0,0.258,0.14,0.095,0.009,0.039
AMT18,3.9,48.866,-16.1938,2008-10-07T12:52,0.013,0.01,0.099,0.069,0.087,0.076,0.001,0.032,0.052,0.257,0.001,0,0.023,0,0.358,0.079,0.156,0.008,0.022
AMT18,3.7,42.673,-22.1949,2008-10-09T05:25,0.001,0.01,0.014,0.01,0.013,0.013,0.001,0.077,0.007,0.046,0.001,0,0.004,0,0.064,0.008,0.023,0.003,0.051
AMT18,3.9,38.882,-25.3242,2008-10-10T05:22,0.001,0.009,0.008,0.007,0.007,0.007,0.001,0.067,0.004,0.025,0.001,0,0.005,0,0.059,0.024,0.014,0.001,0.056
AMT18,3.1,36.0117,-27.7373,2008-10-11T05:29,0.001,0.006,0.007,0.006,0.005,0.006,0.001,0.036,0.006,0.017,0.001,0,0.005,0,0.045,0.01,0.011,0.002,0.043
AMT18,3.7,35.3137,-28.466,2008-10-11T13:43,0.001,0.003,0.004,0.002,0.001,0.007,0.001,0.018,0.008,0.009,0.001,0,0.002,0,0.025,0.008,0.003,0.001,0.023
AMT18,4,33.2979,-30.7968,2008-10-12T05:27,0.001,0.041,0.044,0.041,0.05,0.037,0.001,0.243,0.077,0.104,0.001,0,0.002,0,0.275,0.008,0.091,0.001,0.244
AMT18,6.8,32.49,-31.7102,2008-10-12T13:45,0.001,0.003,0.007,0.001,0.002,0.013,0.001,0.016,0.007,0.011,0.001,0,0.003,0,0.037,0.034,0.003,0.002,0.025
AMT18,3.5,30.4724,-33.9513,2008-10-13T05:24,0.001,0.001,0.004,0.002,0.003,0.006,0.001,0.017,0.004,0.013,0.001,0,0.002,0,0.032,0.015,0.005,0.001,0.026
AMT18,5.3,29.6697,-34.8335,2008-10-13T13:36,0.001,0.02,0.04,0.016,0.021,0.072,0.001,0.102,0.032,0.055,0.001,0,0.002,0,0.219,0.008,0.037,0.001,0.191
AMT18,2.9,27.6318,-37.0306,2008-10-14T05:09,0.003,0.004,0.008,0.003,0.005,0.007,0.001,0.026,0.007,0.016,0.001,0,0.002,0,0.044,0.018,0.008,0.002,0.033
AMT18,3.5,24.7443,-40.0885,2008-10-15T05:25,0.001,0.005,0.007,0.006,0.006,0.008,0.001,0.038,0.008,0.019,0.002,0,0.002,0,0.051,0.008,0.012,0.002,0.039
AMT18,3.8,22.5997,-40.2659,2008-10-16T05:25,0.001,0.006,0.003,0.003,0.004,0.003,0.001,0.027,0.01,0.016,0.001,0,0.002,0,0.043,0.017,0.007,0.001,0.028
AMT18,5,21.6732,-39.5964,2008-10-16T13:39,0.001,0.007,0.005,0.005,0.003,0.014,0.001,0.031,0.004,0.019,0.001,0,0.002,0,0.049,0.016,0.008,0.001,0.029
AMT18,2.5,19.7224,-38.2301,2008-10-17T05:25,0.001,0.009,0.006,0.007,0.007,0.007,0.001,0.058,0.01,0.025,0.001,0,0.002,0,0.058,0.008,0.014,0.003,0.06
AMT18,4.6,18.7886,-37.5779,2008-10-17T13:37,0.001,0.009,0.009,0.005,0.005,0.016,0.001,0.065,0.01,0.023,0.001,0,0.002,0,0.056,0.008,0.01,0.001,0.052
AMT18,3.3,16.8105,-36.2068,2008-10-18T05:24,0.001,0.014,0.01,0.01,0.014,0.008,0.001,0.071,0.001,0.036,0.002,0,0.002,0,0.079,0.031,0.024,0.001,0.08
AMT18,3.2,14.9192,-34.9221,2008-10-19T05:24,0.001,0.025,0.017,0.017,0.017,0.01,0.001,0.162,0.009,0.062,0.001,0,0.01,0,0.128,0.067,0.034,0.004,0.07
