Cruise,Date,Lat,Lon,Depth,PIC,Bsi,POC
AMT18,20081004,50.2037,-2.4631,6,49.75564715,0.81153,126.13
AMT18,20081005,49.7727,-4.7685,6,9.014565774,0.17649,103.02
AMT18,20081005,49.7329,-5.7966,6,6.682191511,0.12627,197.5
AMT18,20081005,49.6909,-6.9044,6,6.493857277,0.24217,219.67
AMT18,20081006,49.4827,-9.1803,1,4.348764044,0.02694,62.57
AMT18,20081006,49.4333,-10.5,6,1.214821064,0.12823,78.125
AMT18,20081006,49.3718,-11.3907,1,1.48674479,0.05715,71.86
AMT18,20081006,49.326,-11.993,6,3.304397954,0.0703,87.35333333
AMT18,20081007,49.1492,-14.6525,1,1.99527631,0.03217,63.25833333
AMT18,20081007,49.017,-15.445,6,1.925939074,0.07112,52.55416667
AMT18,20081007,48.8687,-16.1947,1,2.034861446,0.05895,86.73333333
AMT18,20081007,48.3806,-16.7191,6,1.766591282,0.05335,64.47916667
AMT18,20081007,47.877,-17.271,6,1.408299928,0.0793,70.70833333
AMT18,20081008,46.5907,-18.6967,1,1.376871436,0.06125,61.5
AMT18,20081008,46.1366,-19.1544,6,1.673370169,0.07022,60.8875
AMT18,20081008,45.6642,-19.587,1,0.708865806,0.06368,48.56666667
AMT18,20081008,45.1789,-20.021,6,0.79759433,0.03111,49.05416667
AMT18,20081008,44.265,-20.818,6,0.927360416,0.02802,48.02083333
AMT18,20081009,42.6729,-22.195,1,NaN,0.0257,28.83333333
AMT18,20081009,41.964,-22.788,6,0.399624442,0.02879,30.8375
AMT18,20081009,41.147,-23.471,6,0.360463812,0.03657,33.7625
AMT18,20081009,40.257,-24.21,6,0.318545134,0.03892,31.01666667
AMT18,20081010,38.9821,-25.3243,1,0.635876568,0.0397,44.85416667
AMT18,20081010,38.472,-25.65,6,0.644277063,0.04133,33.57083333
AMT18,20081010,37.964,-25.98,6,0.441830644,0.01959,50.69
AMT18,20081010,37.185,-26.285,6,1.475705943,0.02805,33.22083333
AMT18,20081011,36.0115,-27.7373,1,1.406157324,0.01806,40.20416667
AMT18,20081011,35.61,-28.168,6,0.752981046,0.00671,29.575
AMT18,20081011,35.3137,-28.4663,1,0.645004372,0.09287,40.79583333
AMT18,20081011,34.868,-28.995,6,0.695826852,0.01928,33.25416667
AMT18,20081011,34.242,-29.723,6,0.458844043,0.02096,37.02916667
AMT18,20081012,33.2978,-30.7968,1,1.420847781,0.12797,45.9625
AMT18,20081012,32.955,-31.188,6,0.63126312,0.04229,26.31666667
AMT18,20081012,32.49,-31.71,1,1.437145677,0.01178,30.925
AMT18,20081012,32.048,-32.209,6,0.561189068,0.0093,24.65416667
AMT18,20081012,31.504,-32.814,6,0.629373437,0.01178,29.0625
AMT18,20081013,30.4723,-33.9512,1,0.159034821,0.02687,41.67083333
AMT18,20081013,30.093,-34.375,6,0.573559925,0.02012,24.84166667
