Lat,Lon
49.638,-5.502
49.581,-5.676
49.501,-5.908
49.429,-6.108
49.355,-6.332
49.267,-6.567
49.178,-6.803
49.083,-7.085
49.015,-7.282
48.92,-7.547
48.824,-7.826
48.734,-8.077
48.647,-8.334
48.571,-8.054
48.474,-8.833
48.469,-8.837
48.395,-9.026
48.324,-9.256
48.226,-9.538
48.169,-9.686
48.099,-9.875
48.037,-10.038
47.961,-10.235
47.961,-10.235
47.961,-10.235
47.901,-10.381
47.867,-10.458
47.775,-10.734
47.698,-10.96
47.62,-11.171
47.495,-11.468
47.353,-11.623
47.22,-11.734
47.031,-11.9
46.838,-12.063
46.699,-12.178
46.513,-12.331
46.373,-12.453
46.242,-12.567
46.061,-12.711
46.029,-12.733
45.934,-12.818
45.791,-12.935
45.618,-13.903
45.566,-13.112
45.395,-13.257
45.231,-13.4
45.032,-13.561
45.032,-13.561
45.032,-13.561
44.965,-13.594
44.802,-13.736
44.703,-13.827
44.552,-13.954
44.393,-14.077
44.837,-13.703
44.064,-14.341
43.899,-14.474
43.817,-14.562
43.725,-14.635
43.565,-14.746
43.414,-14.867
43.28,-14.969
43.151,-15.07
42.989,-15.199
42.967,-15.213
42.896,-15.271
42.712,-15.416
42.59,-15.508
42.449,-15.621
42.301,-15.732
42.137,-15.864
42.025,-15.94
42.025,-15.94
42.025,-15.94
41.908,-16.048
41.755,-16.159
41.584,-16.293
41.434,-16.409
41.307,-16.507
41.122,-16.648
40.975,-16.761
40.813,-16.887
40.672,-16.992
40.533,-17.103
40.391,-17.204
40.228,-17.33
40.075,-17.441
39.907,-17.558
39.737,-17.694
39.719,-17.716
39.603,-17.797
39.482,-17.89
39.315,-18.014
39.201,-18.103
39.013,-18.24
38.879,-18.335
38.743,-18.441
38.743,-18.441
38.743,-18.441
38.631,-18.526
38.496,-18.627
38.364,-18.71
38.207,-18.831
37.096,-18.913
37.921,-19.039
37.799,-19.13
37.646,-19.244
37.482,-19.361
37.352,-19.455
37.207,-19.559
37.064,-19.661
36.914,-19.771
36.737,-19.897
36.592,-20.001
36.414,-20.122
36.414,-20.121
36.315,-20.199
36.246,-20.251
36.041,-20.398
35.871,-20.348
35.973,-20.444
35.563,-20.736
35.344,-20.891
35.344,-20.891
35.344,-20.891
35.283,-20.923
35.158,-21.021
35.005,-21.116
34.85,-21.202
34.71,-21.28
34.536,-21.366
34.368,-21.458
34.2,-21.551
34.046,-21.63
33.872,-21.012
33.691,-21.816
33.573,-21.876
33.41,-21.957
33.245,-21.045
33.068,-22.134
33.047,-22.137
32.981,-22.169
32.829,-22.256
32.656,-22.343
32.524,-22.41
32.387,-22.48
32.2,-22.575
32.043,-22.657
32.043,-22.657
32.043,-22.657
31.857,-22.71
31.825,-22.741
31.631,-22.856
31.487,-22.947
31.322,-23.023
31.16,-23.102
30.991,-23.187
30.806,-23.279
30.62,-23.372
30.448,-23.457
30.27,-23.545
30.068,-23.647
29.916,-23.72
29.731,-23.811
29.521,-23.916
29.488,-23.932
29.389,-23.981
29.215,-24.066
29.043,-24.15
28.86,-24.239
28.71,-24.312
28.609,-24.361
28.609,-24.361
28.609,-24.361
28.609,-24.361
28.586,-24.368
28.423,-24.448
28.241,-24.538
28.111,-24.596
27.974,-24.666
27.804,-24.753
27.657,-24.825
27.48,-24.909
27.315,-24.989
27.118,-25.082
26.976,-25.154
26.808,-25.24
26.636,-25.318
26.441,-25.408
26.22,-25.512
26.204,-25.521
26.061,-25.592
25.938,-25.649
25.736,-25.742
25.56,-25.831
25.347,-25.933
25.289,-25.954
25.179,-26.006
25.179,-26.006
25.179,-26.006
25.059,-26.055
24.91,-26.117
24.703,-26.234
24.518,-26.321
24.406,-26.373
24.19,-26.474
24.016,-26.556
23.858,-26.637
23.659,-26.723
23.502,-26.792
23.345,-26.869
23.183,-26.946
23.004,-27.029
22.846,-27.104
22.628,-27.202
22.6,-27.213
22.542,-27.229
22.214,-27.394
22.542,-27.229
22.043,-27.474
21.878,-27.551
21.711,-27.626
21.549,-27.703
21.549,-27.703
21.549,-27.703
21.446,-27.74
21.274,-27.816
21.12,-27.894
20.936,-27.983
20.82,-28.033
20.619,-28.128
20.447,-28.206
20.286,-28.28
20.106,-28.359
19.957,-28.43
19.797,-28.503
19.618,-28.581
19.438,-28.664
19.277,-28.745
19.087,-28.817
19.078,-28.817
18.998,-28.818
18.873,-28.832
18.658,-28.855
18.484,-28.873
18.456,-28.876
18.134,-28.901
17.844,-28.926
17.844,-28.926
17.844,-28.926
17.742,-28.93
17.586,-28.987
17.377,-28.997
17.18,-28.995
17.034,-28.992
